"pkg","ver","src","desc"
"beeswarm","0.0.7","Archive/beeswarm/beeswarm_0.0.7.tar.gz","beeswarm_0.0.7.dcf"
"beeswarm","0.1.1","Archive/beeswarm/beeswarm_0.1.1.tar.gz","beeswarm_0.1.1.dcf"
"beeswarm","0.1.5","Archive/beeswarm/beeswarm_0.1.5.tar.gz","beeswarm_0.1.5.dcf"
"beeswarm","0.1.6","beeswarm_0.1.6.tar.gz","beeswarm_0.1.6.dcf"
"belief","1.0.1","Archive/belief/belief_1.0.1.tar.gz","belief_1.0.1.dcf"
"belief","1.0","Archive/belief/belief_1.0.tar.gz","belief_1.0.dcf"
"benchden","1.0.0","Archive/benchden/benchden_1.0.0.tar.gz","benchden_1.0.0.dcf"
"benchden","1.0.1","Archive/benchden/benchden_1.0.1.tar.gz","benchden_1.0.1.dcf"
"benchden","1.0.2","Archive/benchden/benchden_1.0.2.tar.gz","benchden_1.0.2.dcf"
"benchden","1.0.3","Archive/benchden/benchden_1.0.3.tar.gz","benchden_1.0.3.dcf"
"benchden","1.0.4","Archive/benchden/benchden_1.0.4.tar.gz","benchden_1.0.4.dcf"
"benchden","1.0.5","benchden_1.0.5.tar.gz","benchden_1.0.5.dcf"
"benchmark","0.3-1","Archive/benchmark/benchmark_0.3-1.tar.gz","benchmark_0.3-1.dcf"
"benchmark","0.3-2","Archive/benchmark/benchmark_0.3-2.tar.gz","benchmark_0.3-2.dcf"
"benchmark","0.3-3","Archive/benchmark/benchmark_0.3-3.tar.gz","benchmark_0.3-3.dcf"
"benchmark","0.3-4","Archive/benchmark/benchmark_0.3-4.tar.gz","benchmark_0.3-4.dcf"
"benchmark","0.3","Archive/benchmark/benchmark_0.3.tar.gz","benchmark_0.3.dcf"
"benchmark","0.3-5","benchmark_0.3-5.tar.gz","benchmark_0.3-5.dcf"
"Benchmarking","0.10","Archive/Benchmarking/Benchmarking_0.10.tar.gz","Benchmarking_0.10.dcf"
"Benchmarking","0.14","Archive/Benchmarking/Benchmarking_0.14.tar.gz","Benchmarking_0.14.dcf"
"Benchmarking","0.16","Archive/Benchmarking/Benchmarking_0.16.tar.gz","Benchmarking_0.16.dcf"
"Benchmarking","0.17","Archive/Benchmarking/Benchmarking_0.17.tar.gz","Benchmarking_0.17.dcf"
"Benchmarking","0.18","Archive/Benchmarking/Benchmarking_0.18.tar.gz","Benchmarking_0.18.dcf"
"Benchmarking","0.19","Archive/Benchmarking/Benchmarking_0.19.tar.gz","Benchmarking_0.19.dcf"
"Benchmarking","0.20","Archive/Benchmarking/Benchmarking_0.20.tar.gz","Benchmarking_0.20.dcf"
"Benchmarking","0.21","Archive/Benchmarking/Benchmarking_0.21.tar.gz","Benchmarking_0.21.dcf"
"Benchmarking","0.22","Archive/Benchmarking/Benchmarking_0.22.tar.gz","Benchmarking_0.22.dcf"
